main_category,subcategory,leaf_category,url,scrape_status,last_scraped,items_found,pages_scraped,errors,notes
TVs & Appliances,Kitchen Appliances,Oven Toaster Grills (OTG),https://www.flipkart.com/oven-toaster-grills/pr?sid=j9e%2Cm38%2Cvr5,verified,,,,,auto-matched 'Oven Toaster Grills (OTG)' score=0.99
TVs & Appliances,Kitchen Appliances,Juicer/Mixer/Grinder,https://www.flipkart.com/mixerjuicergrinders/pr?sid=j9e%2Cm38%2C7ek,verified,,,,,auto-matched 'Juicer/Mixer/Grinder' score=0.99
TVs & Appliances,Kitchen Appliances,Electric Kettle,https://www.flipkart.com/electric-jugheatertravel-kettles/pr?sid=j9e%2Cm38%2Cxrv,verified,,,,,auto-matched 'Electric Kettle' score=0.99
TVs & Appliances,Kitchen Appliances,Induction Cooktops,"https://www.flipkart.com/induction-cooktops/pr?sid=j9e,m38,575",verified,,,,,Matched 'Induction Cooktops' score=0.85
TVs & Appliances,Kitchen Appliances,Chimneys,https://www.flipkart.com/chimneys-store,failed,2026-06-10T15:41:57,,,HTTP 200 but no product cards found,auto-matched 'Chimneys' score=1.00
TVs & Appliances,Kitchen Appliances,Hand Blenders,"https://www.flipkart.com/hand-blenders/pr?sid=j9e,m38,u7m",verified,,,,,Matched 'Hand Blenders' score=0.85
TVs & Appliances,Kitchen Appliances,Sandwich Makers,"https://www.flipkart.com/sandwich-makers/pr?sid=j9e,m38,1vj",verified,,,,,Matched 'Sandwich Makers' score=0.85
TVs & Appliances,Kitchen Appliances,Pop Up Toasters,https://www.flipkart.com/home-kitchen/kitchen-appliances/popup-toasters/pr?sid=j9e%2Cm38%2Ctxh,verified,,,,,auto-matched 'Pop Up Toasters' score=1.00
TVs & Appliances,Kitchen Appliances,Electric Cookers,https://www.flipkart.com/electric-cookers/pr?sid=j9e%2Cm38%2C9m9,verified,,,,,URL found by discover_categories on 2026-06-07
TVs & Appliances,Kitchen Appliances,Wet Grinders,"https://www.flipkart.com/home-kitchen/kitchen-appliances/wet-grinders/pr?sid=j9e,m38,htd",verified,,,,,Matched 'Wet Grinders' score=0.88
TVs & Appliances,Kitchen Appliances,Food Processors,"https://www.flipkart.com/food-processors/pr?sid=j9e,m38,rj3",verified,,,,,Matched 'Food Processors' score=0.85
TVs & Appliances,Kitchen Appliances,Coffee Makers,https://www.flipkart.com/coffee-makers/pr?sid=j9e%2Cm38%2Cwqo,verified,,,,,URL found by discover_categories on 2026-06-07
TVs & Appliances,Kitchen Appliances,Dishwashers,https://www.flipkart.com/dishwasher-store,failed,2026-06-10T15:41:54,,,HTTP 200 but no product cards found,auto-matched 'Dishwashers' score=0.75
TVs & Appliances,Small Home Appliances,Irons,https://www.flipkart.com/iron/pr?sid=j9e%2Cabm%2Ca0u,verified,,,,,auto-matched 'Irons' score=0.75
TVs & Appliances,Small Home Appliances,Water Purifiers,https://www.flipkart.com/water-purifiers/pr?sid=j9e%2Cabm%2Ci45,verified,2026-06-07T17:58:02,,,HTTP 200 but no product cards found,URL found by discover_categories on 2026-06-07
TVs & Appliances,Small Home Appliances,Fans,"https://www.flipkart.com/home-kitchen/home-appliances/fans/pr?sid=j9e,abm,lbz",verified,,,,,Matched 'Fans' score=0.88
TVs & Appliances,Small Home Appliances,Air Coolers,https://www.flipkart.com/air-coolers/pr?sid=j9e%2Cabm%2C52j,verified,,,,,URL found by discover_categories on 2026-06-07
TVs & Appliances,Small Home Appliances,Inverters,"https://www.fliplart.com/home-kitchen/home-appliances/inverters/pr?sid=j9e,abm,7no",failed,2026-06-10T15:32:46,,,HTTP 200 but no product cards found,Matched 'Inverters' score=0.88
TVs & Appliances,Small Home Appliances,Vacuum Cleaners,"https://www.flipkart.com/vacuum-cleaners/pr?sid=j9e,abm,ul2",verified,,,,,Matched 'Vacuum Cleaners' score=0.85
TVs & Appliances,Small Home Appliances,Sewing Machine,"https://www.flipkart.com/home-kitchen/home-appliances/sewing-machines/pr?sid=j9e,abm,0zg",url_found,,,,,Matched 'Sewing Machines' score=0.86
TVs & Appliances,Small Home Appliances,Voltage Stabilizers,"https://www.flipkart.com/home-kitchen/home-appliances/voltage-stabilizers/pr?sid=j9e,abm,xf4",verified,,,,,Matched 'Voltage Stabilizers' score=0.88
TVs & Appliances,Small Home Appliances,Water Geysers,https://www.flipkart.com/water-geysers/pr,verified,2026-06-07T17:57:59,,,HTTP 200 but no product cards found,URL found by discover_categories on 2026-06-07
TVs & Appliances,Small Home Appliances,Immersion Rods,"https://www.flipkart.com/home-kitchen/home-appliances/immersion-rods/pr?sid=j9e,abm,rqo",url_found,,,,,Matched 'Immersion Rods' score=0.88
Men,Footwear,Sports Shoes,https://www.flipkart.com/mens-footwear/sports-shoes/pr?sid=osp%2Ccil%2C1cu,verified,,,,,URL found by discover_categories on 2026-06-07
Men,Footwear,Casual Shoes,https://www.flipkart.com/mens-footwear/casual-shoes/pr?sid=osp%2Ccil%2Ce1f,verified,,,,,URL found by discover_categories on 2026-06-07
Men,Footwear,Formal Shoes,https://www.flipkart.com/mens-footwear/formal-shoes/pr?sid=osp%2Ccil%2Cssb,verified,,,,,URL found by discover_categories on 2026-06-07
Men,Footwear,Sandals & Floaters,"https://www.flipkart.com/mens-footwear/sandals-floaters/pr?sid=osp,cil,e83",verified,,,,,Matched 'Sandals & Floaters' score=0.85
Men,Footwear,Flip- Flops,"https://www.flipkart.com/mens-footwear/slippers-flip-flops/pr?sid=osp,cil,e1r",verified,,,,,Matched 'Flip- Flops' score=0.85
Men,Footwear,Loafers,"https://www.flipkart.com/mens-footwear/casual-shoes/loafers~type/pr?sid=osp,cil,e1f",url_found,,,,,Matched 'Loafers' score=0.85
Men,Footwear,Boots,"https://www.flipkart.com/mens-footwear/casual-shoes/boots~type/pr?sid=osp,cil,e1f",url_found,,,,,Matched 'Boots' score=0.85
Men,Footwear,Running Shoes,https://www.flipkart.com/mens-footwear/sports-shoes/running-shoes~type/pr?sid=osp,cil,1cu,url_found,2026-06-08T17:37:09,HTTP 200 but no product cards found,URL found by discover_categories on 2026-06-07
Men,Footwear,Sneakers,"https://www.flipkart.com/mens-footwear/casual-shoes/sneakers~type/pr?sid=osp,cil,e1f",url_found,,,,,Matched 'Sneakers' score=0.85
Men,Men's Grooming,Deodorants,https://www.flipkart.com/beauty-and-grooming/fragrances/deodorants/pr?sid=g9b%2C0yh%2Cvp1&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.ideal_for%255B%255D%3DMen&p%5B%5D=facets.serviceability%5B%5D%3Dtrue,verified,,,,,auto-matched 'Deodorants' score=1.00
Men,Men's Grooming,Perfumes,https://www.flipkart.com/beauty-and-grooming/fragrances/perfume/pr?sid=g9b%2C0yh%2Cjhz&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.ideal_for%255B%255D%3DMen&p%5B%5D=facets.serviceability%5B%5D%3Dtrue,verified,,,,,auto-matched 'Perfumes' score=0.75
